source,target,rating
13,16,0.8
13,10,0.8
21,1,0.8
21,10,0.8
21,8,0.9
10,1,0.8
10,21,0.8
10,25,1.0
13,1,0.8
1,17,0.9
17,1,0.9
61,20,0.8
71,1,0.8
119,1,1.0
119,127,1.0
1,2,0.8
127,119,1.0
2,3,0.8
1,7,0.9
2,1,0.8
39,2,0.8
33,1,0.8
237,202,1.0
2,62,0.8
80,81,0.8
60,257,1.0
149,25,1.0
279,60,0.8
283,284,1.0
284,283,1.0
21,93,0.8
93,21,0.8
313,45,1.0
57,7,0.8
4,202,0.8
330,7,1.0
342,395,1.0
410,201,1.0
198,2,0.8
219,1,1.0
397,278,0.8
51,451,1.0
451,51,1.0
486,1,1.0
21,490,0.8
64,104,1.0
132,7,1.0
111,499,1.0
499,111,1.0
490,21,0.8
520,484,1.0
144,202,0.8
202,144,0.8
300,529,1.0
529,300,1.0
571,570,1.0
570,571,1.0
581,159,1.0
588,587,1.0
602,159,1.0
200,623,1.0
484,304,1.0
628,605,0.8
623,200,1.0
113,7,0.8
395,342,1.0
636,635,1.0
650,651,1.0
651,650,1.0
691,523,1.0
678,717,0.9
184,720,1.0
721,64,1.0
720,184,1.0
717,678,0.9
167,2,0.8
167,245,0.8
167,223,0.8
167,39,0.8
39,167,0.8
39,223,0.8
39,245,0.8
39,1,0.8
747,732,1.0
64,770,1.0
770,64,1.0
778,732,1.0
780,814,1.0
814,780,1.0
353,1,1.0
9,1,1.0
61,109,1.0
753,840,0.8
769,847,1.0
847,769,0.9
824,623,0.8
911,908,1.0
911,548,1.0
911,832,1.0
923,920,1.0
922,894,1.0
832,920,1.0
198,534,1.0
977,610,1.0
977,923,1.0
249,241,0.8
418,489,0.9
489,418,0.9
1012,554,1.0
687,908,1.0
908,1013,1.0
832,25,1.0
1013,908,1.0
4,13,0.8
1024,832,0.8
1023,923,1.0
1027,832,0.9
832,241,1.0
13,4,0.8
950,678,0.8
540,475,1.0
353,1046,0.8
920,832,1.0
922,606,1.0
19,7,0.9
19,1,0.9
1014,777,1.0
1026,908,1.0
533,1068,1.0
533,530,1.0
1074,733,0.8
760,1076,1.0
606,908,1.0
777,1014,1.0
1092,908,1.0
64,1094,1.0
1094,64,1.0
1092,492,1.0
492,908,1.0
576,104,1.0
1109,923,1.0
1065,1119,1.0
922,953,1.0
922,1122,1.0
1122,922,1.0
1125,882,1.0
1133,710,1.0
710,1133,1.0
1013,1092,1.0
1092,1013,1.0
1095,1092,1.0
1095,908,1.0
1139,1140,1.0
1,197,0.8
1,60,0.8
1,41,0.8
1,39,0.8
1,6,0.8
353,134,1.0
484,593,1.0
270,1174,1.0
198,959,1.0
959,198,1.0
882,7,1.0
500,1191,1.0
768,1196,0.8
1196,768,0.8
1191,500,1.0
1232,923,1.0
1084,1100,1.0
1100,1084,1.0
908,1257,1.0
1257,908,1.0
1260,1037,1.0
1260,1261,1.0
1260,1166,1.0
1257,4,0.9
1174,270,1.0
1285,923,1.0
1217,775,0.9
1291,1277,1.0
1277,1291,1.0
540,626,1.0
626,540,1.0
1261,1260,1.0
997,1217,0.8
1217,997,0.8
468,566,1.0
1098,7,1.0
1119,1065,1.0
911,1326,1.0
1326,911,1.0
1268,1094,1.0
113,1340,1.0
1094,1268,0.9
283,7,1.0
1358,518,1.0
518,1358,1.0
708,1363,0.8
41,7,0.9
1267,1328,1.0
1328,1267,1.0
1363,708,0.8
1381,1368,1.0
1267,921,1.0
786,25,1.0
1352,1,1.0
1384,1201,1.0
1385,882,1.0
1267,546,1.0
1207,882,1.0
882,1207,1.0
1396,60,0.8
1384,635,1.0
1185,801,1.0
935,7,1.0
88,101,0.9
801,1185,0.8
465,882,0.8
540,1,1.0
35,1437,1.0
1396,1201,0.9
1201,1396,0.9
88,1501,1.0
775,1437,0.9
660,1545,1.0
1556,465,0.8
775,1354,0.8
775,1217,0.9
1572,1600,1.0
1354,775,0.8
41,1386,0.8
10,41,0.8
1629,25,1.0
1631,1290,1.0
178,1,0.8
41,1,0.8
899,1643,0.9
1541,25,1.0
1648,1566,1.0
1568,1663,1.0
1630,545,1.0
775,1669,1.0
1217,1669,1.0
1217,1437,0.9
1657,1566,1.0
1437,1669,1.0
1689,1,1.0
1690,1,1.0
1690,25,1.0
1662,1701,1.0
540,7,1.0
1700,1708,0.8
1708,1700,0.8
39,415,0.8
415,39,0.8
540,1386,1.0
1759,1591,1.0
1763,1744,1.0
1771,25,1.0
1779,1787,0.8
1787,1779,1.0
1585,25,1.0
465,1556,0.8
425,1,1.0
1386,1,0.8
1201,1386,0.9
104,23,1.0
1839,1840,0.8
1656,1185,0.8
1185,1656,0.8
1201,25,1.0
1487,25,1.0
415,1492,0.8
1492,415,0.8
1318,1877,1.0
1566,1201,0.8
1566,1386,1.0
425,1566,0.8
1201,1566,0.8
1860,1,1.0
882,178,1.0
1386,1566,0.8
1201,1,1.0
1,1201,0.8
1566,1769,0.8
1201,1363,0.8
1201,537,0.8
1386,135,0.8
1701,1860,0.8
1860,1701,0.8
1771,1860,0.9
1984,1,1.0
1995,1840,1.0
1685,1839,1.0
1896,1771,1.0
1771,1896,1.0
1620,1386,1.0
1656,1,0.9
2026,1957,1.0
1528,25,1.0
2040,1690,0.9
2014,1855,1.0
340,1690,0.8
823,1,1.0
823,2078,1.0
1615,2080,1.0
2080,1615,1.0
2080,2082,1.0
2080,25,1.0
2082,2080,1.0
425,1201,1.0
425,309,1.0
2087,35,1.0
1383,425,0.9
1383,1201,0.9
1383,1386,0.9
1383,1,0.9
1383,1316,0.9
1383,7,0.9
1478,2040,0.8
1899,1473,0.8
1473,1899,0.8
1204,2028,1.0
1846,1386,1.0
1386,1846,0.8
2028,2214,1.0
215,1566,0.8
304,25,1.0
2240,2080,1.0
1204,2125,1.0
1620,722,1.0
1529,905,0.8
2200,1620,1.0
1620,2200,1.0
905,1386,1.0
425,1386,0.9
1566,215,0.9
425,1317,0.9
1386,425,0.9
1878,25,1.0
988,2305,1.0
2305,988,1.0
2303,25,1.0
988,2313,0.8
1896,2076,1.0
2076,1896,1.0
1829,25,1.0
2241,1121,1.0
1121,2241,1.0
1204,1899,1.0
1899,1204,0.8
1,4,1.0
4,1,1.0
1585,1,0.9
2125,2349,0.8
2311,1201,1.0
1316,1366,0.8
1316,425,0.8
425,1316,0.8
1366,1,1.0
2230,2118,0.8
732,2176,0.8
2067,1731,1.0
1731,2067,1.0
2305,2377,1.0
2377,2305,1.0
2377,2313,1.0
2311,2167,1.0
2174,25,1.0
1201,1316,0.8
1316,1201,0.8
1948,1615,1.0
2118,2230,0.8
2427,2118,0.8
1615,1948,0.8
2344,25,1.0
2125,2438,0.8
1383,1566,1.0
2451,1396,1.0
2132,1624,0.8
1201,4,0.8
4,1201,0.8
2507,1185,1.0
2347,2313,1.0
823,2070,0.8
2070,823,0.8
304,905,1.0
2523,25,1.0
2516,2543,0.9
241,249,1.0
1719,2158,0.8
2540,2548,0.8
2342,2370,1.0
2370,2342,1.0
2472,2067,1.0
1689,25,1.0
2,1363,0.8
2,167,0.8
2,39,0.8
2,223,0.8
2,245,0.8
2549,2567,1.0
2567,2566,0.8
2566,2568,0.9
2567,2568,0.9
2568,2567,0.9
2569,2568,0.9
304,2198,1.0
304,1899,1.0
1899,304,1.0
2592,2574,1.0
2603,2585,0.8
2603,2601,1.0
2616,35,1.0
241,1,0.8
2585,2622,0.9
2585,2623,0.8
2622,2623,0.9
2637,2635,0.9
1774,1752,0.8
132,1,1.0
2659,2658,1.0
2670,2669,1.0
2657,2670,0.8
2670,2657,0.8
2670,2671,0.9
2670,2672,0.9
2670,2633,0.9
2657,2672,0.9
2675,2633,0.9
2678,2671,1.0
2678,2672,0.9
2672,2067,0.9
2672,2631,1.0
2672,2629,1.0
2672,2632,1.0
2672,2628,1.0
2632,2628,1.0
2632,2629,1.0
2632,2631,1.0
2632,1543,1.0
2631,2634,1.0
2631,2574,1.0
2631,2666,1.0
2631,2570,1.0
2631,2571,1.0
2628,1810,1.0
2628,1543,1.0
2628,2574,1.0
2628,2571,1.0
2628,2548,1.0
2665,1948,0.8
2680,1543,1.0
2680,2682,1.0
2680,1810,1.0
2680,2176,1.0
2682,2176,1.0
2682,1543,1.0
2682,1810,1.0
2682,2680,1.0
2682,1201,1.0
2680,905,1.0
1543,2683,1.0
2680,2683,1.0
2682,2683,1.0
2680,2485,0.8
1543,2682,0.9
1543,2680,1.0
2683,1543,1.0
1543,2684,1.0
2680,2684,1.0
2684,905,1.0
2683,2685,1.0
2685,2683,1.0
1396,1316,0.8
1396,1386,0.8
2128,2118,1.0
905,57,1.0
2070,1948,0.8
2674,2672,1.0
2699,2674,1.0
2574,2700,1.0
2711,1,1.0
2720,2574,1.0
2720,2721,1.0
2720,2700,1.0
2726,35,1.0
2738,2676,1.0
2758,242,1.0
242,2758,0.9
2176,1,1.0
2686,2771,0.9
2771,2686,0.9
1948,2070,0.8
2788,2647,1.0
2786,35,1.0
2409,2028,1.0
2823,2782,1.0
2828,2647,1.0
2693,2427,1.0
2214,2028,1.0
2884,1675,1.0
2866,2688,1.0
2884,2028,1.0
905,1953,1.0
1629,1383,1.0
2812,2028,1.0
2940,25,1.0
2942,25,1.0
2918,1953,1.0
2859,2953,1.0
13,25,1.0
2688,2028,1.0
3003,2733,1.0
3010,1953,1.0
2028,2725,0.9
2647,2485,1.0
2788,2642,1.0
2725,2028,1.0
1555,2246,1.0
2992,3027,0.8
2725,2733,0.9
1396,1566,0.8
2485,2647,1.0
304,1953,0.8
1953,304,0.8
1217,23,1.0
6,1363,0.8
6,1,0.8
1386,1201,1.0
2647,2635,1.0
2388,25,0.9
3045,25,1.0
3092,2896,1.0
224,2125,0.9
1675,1810,1.0
2817,1217,0.8
2647,3125,1.0
3086,3129,1.0
2725,2835,0.9
2642,3598,0.8
1743,3157,0.8
1743,448,1.0
1743,143,0.8
448,1743,1.0
2905,3018,1.0
1743,2013,0.8
2013,1743,0.8
2725,1731,0.9
2763,3198,1.0
3203,1271,1.0
1840,1185,0.8
2635,2647,1.0
3218,3018,1.0
3084,2647,0.9
3125,2647,1.0
1363,2,0.8
1363,245,0.8
3190,25,1.0
3223,3246,1.0
3198,2763,1.0
2635,3260,1.0
3246,3223,1.0
3197,3239,1.0
3197,2642,1.0
2821,2028,1.0
3276,2642,1.0
2118,3281,0.8
3281,2118,0.8
3236,3119,1.0
3086,3260,1.0
2296,1403,1.0
2296,2388,1.0
2296,1363,1.0
2028,3293,1.0
2733,3293,1.0
3308,3219,0.8
2647,1953,1.0
2942,1810,1.0
363,1366,1.0
3287,3333,1.0
3345,1656,1.0
1318,1656,1.0
2825,2635,0.8
2825,3086,0.8
2825,3018,0.8
2825,2419,0.8
3264,3366,0.9
1217,3377,1.0
2028,1334,0.9
2118,3377,0.8
3395,2642,0.8
2484,3367,1.0
2028,2125,0.8
3363,3086,0.8
1953,2635,0.8
1953,3260,0.8
2966,1953,0.8
3377,1217,1.0
3377,2118,1.0
2028,3416,0.8
3198,1018,1.0
540,2028,1.0
2763,1018,0.9
3598,2642,1.0
2784,2118,1.0
2127,2763,1.0
3456,2437,1.0
1550,1217,0.9
2127,1352,1.0
3483,3484,1.0
3484,3483,1.0
3489,2838,1.0
3500,3208,1.0
1018,230,1.0
3525,3018,1.0
2028,1018,0.8
2642,1018,0.8
1815,135,1.0
3553,3552,1.0
3554,3552,1.0
3498,3555,1.0
3498,3552,0.8
3556,3552,0.8
3558,3552,0.8
2063,2028,0.8
3511,2642,1.0
3562,3552,0.8
3563,3562,1.0
3563,3552,1.0
3556,3563,1.0
3556,3564,1.0
3564,3552,0.8
3556,3565,1.0
3565,3552,0.8
3556,3566,0.8
3566,3552,0.8
3565,3567,0.8
3567,3552,1.0
3565,3569,0.8
3569,3552,1.0
3570,3552,0.8
3366,1,1.0
2158,135,1.0
3591,2642,1.0
1810,2942,0.8
2961,25,1.0
3615,35,1.0
3615,2897,1.0
3545,160,1.0
2173,2028,0.8
3665,896,1.0
3678,3451,1.0
3695,3669,0.9
1565,1318,1.0
2625,3223,0.8
6,856,0.8
6,2188,0.9
3723,3689,1.0
3646,2125,0.8
3732,3731,1.0
2962,3744,1.0
2644,1764,1.0
3744,2962,1.0
3744,23,1.0
2144,1764,0.8
3366,1948,1.0
3744,1670,1.0
3744,1743,1.0
3744,29,1.0
3744,1967,1.0
3744,2125,1.0
3744,535,1.0
3744,2173,1.0
3744,493,1.0
3744,2438,1.0
3744,3736,1.0
3744,3394,1.0
3744,2017,1.0
3744,3756,1.0
3757,2017,1.0
3757,3756,1.0
3756,3744,1.0
3756,2017,1.0
3756,3757,1.0
3756,2962,1.0
3757,2962,1.0
3744,3757,1.0
3744,3759,1.0
3759,2962,1.0
3759,3744,1.0
3759,3756,1.0
3759,3757,1.0
3759,2017,1.0
3744,3760,1.0
3760,2962,1.0
3760,2017,1.0
3760,3756,1.0
3760,3757,1.0
3760,3759,1.0
3760,3744,1.0
3366,2296,1.0
2019,1810,1.0
2262,3734,0.8
3744,2934,1.0
3756,2934,1.0
3757,2934,1.0
3759,2934,1.0
3760,2934,1.0
3785,1810,1.0
3785,1802,1.0
2470,1217,0.8
1743,3219,0.8
3223,2625,1.0
3547,3699,1.0
3800,2484,1.0
2770,3377,0.8
1386,3859,0.8
1933,2903,1.0
3776,3018,1.0
3861,2903,1.0
3861,1933,1.0
2903,3861,1.0
2903,1933,1.0
3511,3820,1.0
1967,3876,0.9
3500,3878,1.0
3500,3888,1.0
3888,3500,1.0
3896,2262,0.8
3928,3735,1.0
3973,3669,1.0
3881,3735,1.0
2495,3974,1.0
3974,2495,1.0
585,3975,1.0
3987,3598,1.0
361,3996,1.0
3996,361,1.0
3660,3996,0.8
3571,3748,0.9
3917,4007,1.0
3397,1363,1.0
3972,2079,1.0
3500,3781,1.0
3828,2642,1.0
4029,2642,1.0
4030,3168,1.0
3500,4035,1.0
3500,3655,1.0
4015,3990,1.0
4047,3735,1.0
4047,2642,1.0
4052,3735,1.0
4054,3735,1.0
4059,3735,0.8
3414,3738,1.0
3211,4080,0.8
113,25,1.0
3547,3445,1.0
2897,3488,1.0
3488,2897,1.0
4112,3018,1.0
4121,3735,1.0
2388,1363,0.9
4136,3724,1.0
4136,4036,1.0
1201,4144,0.9
4144,1201,0.9
4141,2647,0.9
4150,2188,1.0
4164,2284,0.8
4168,3735,1.0
905,1316,1.0
3642,1810,1.0
2296,1810,1.0
2625,3219,1.0
3219,2625,1.0
2763,2127,1.0
2897,2110,1.0
3539,4075,1.0
4163,1689,1.0
1316,1396,0.8
2344,2266,1.0
4205,3982,1.0
4181,4198,1.0
4198,4181,1.0
3056,2642,1.0
4212,3735,1.0
4219,3735,1.0
2512,13,1.0
4038,3642,1.0
4226,3642,1.0
1719,905,0.8
1719,2198,1.0
4237,4217,1.0
1201,4238,0.8
4240,3642,0.8
4245,3813,0.9
4098,3898,1.0
4163,3545,0.9
4163,395,1.0
2167,4257,1.0
1217,39,0.8
3527,4261,1.0
4261,3527,1.0
4257,2167,1.0
3982,4205,1.0
905,304,1.0
4098,3723,1.0
3723,4098,1.0
2942,2125,1.0
3214,2165,1.0
3018,2635,1.0
4136,3735,1.0
3816,2404,0.8
4238,2167,1.0
4163,2142,1.0
4163,230,1.0
1018,3219,0.9
3887,2642,0.8
3214,3219,0.9
3219,3214,0.8
3397,1098,1.0
4238,4348,0.8
3489,35,1.0
3490,4354,1.0
4238,4356,0.8
4354,3490,1.0
3699,4235,0.9
4172,2125,0.8
4367,2777,1.0
4369,1947,0.8
905,1529,1.0
2063,2642,0.8
4354,4393,1.0
4395,4396,0.8
4396,4395,1.0
280,3815,0.8
3490,4393,1.0
3815,280,1.0
1810,1765,0.8
2167,4172,1.0
4107,2635,1.0
342,25,1.0
4322,3129,1.0
4421,2296,1.0
3161,135,1.0
4353,546,1.0
4304,135,1.0
3445,2127,0.8
3704,2942,1.0
4499,4400,1.0
2296,4119,0.8
2388,3025,1.0
2942,4515,1.0
2642,4172,0.8
3744,3408,1.0
4531,4522,1.0
4531,4197,1.0
4531,3837,1.0
3018,2647,1.0
2647,3018,1.0
4549,3642,1.0
363,1018,0.8
3487,2661,1.0
1403,4546,1.0
4217,3976,1.0
3756,1318,1.0
1334,2822,1.0
4590,3719,0.9
4590,3744,0.9
4590,2498,1.0
4590,1771,1.0
4594,3642,1.0
3237,4197,1.0
4515,2942,1.0
4631,2942,0.8
363,4639,1.0
4639,363,1.0
4609,3837,1.0
4531,4654,1.0
4664,4646,1.0
4664,4662,1.0
4664,4663,1.0
4654,4661,1.0
4531,4661,1.0
4531,4666,1.0
4546,481,1.0
4591,481,1.0
4654,4667,1.0
3642,481,1.0
4654,4668,1.0
4668,4669,1.0
4107,2045,1.0
4107,4172,1.0
4172,4107,1.0
4579,4604,0.8
4291,3649,0.8
4668,4707,1.0
4661,4707,1.0
3465,1810,1.0
2313,2377,1.0
2313,2347,1.0
2313,988,1.0
4681,4733,1.0
4680,4733,1.0
4661,4733,1.0
4729,4569,1.0
4729,1334,1.0
4458,4735,1.0
4659,1334,1.0
4458,4635,1.0
4573,25,1.0
4291,4172,0.8
3504,35,1.0
4521,4482,1.0
4107,3527,1.0
3527,4107,0.8
3649,4291,0.8
905,4172,1.0
4308,3129,1.0
4791,3957,1.0
2165,25,1.0
4698,4635,0.9
4806,4611,1.0
1334,4659,1.0
4400,4172,1.0
500,4823,1.0
500,4824,1.0
4824,500,1.0
4824,4823,1.0
4824,1191,1.0
4524,2642,0.8
4694,1334,1.0
4499,4635,1.0
4301,4855,1.0
4615,3404,0.8
3837,25,1.0
1555,4172,1.0
4172,1555,0.8
905,3719,1.0
2647,4172,1.0
2313,2305,1.0
2305,2313,1.0
4900,4899,0.8
3875,4197,0.9
4918,1018,1.0
353,4172,0.9
4415,4559,0.9
4828,4559,1.0
3161,1018,0.8
1334,3719,0.8
4281,4172,1.0
4266,2635,1.0
4172,2642,0.8
1201,57,0.8
3389,2642,0.9
2642,3389,0.9
1334,1832,0.9
4291,2498,1.0
905,3897,1.0
3746,25,1.0
2642,3630,0.8
5015,4988,1.0
3630,2642,1.0
4,5014,0.8
5014,4,0.8
2388,35,0.9
3725,4918,1.0
4612,35,1.0
4918,3725,1.0
547,5030,1.0
5030,547,1.0
5029,5032,1.0
5032,5029,0.8
5027,5028,1.0
1394,5029,1.0
4592,25,1.0
5036,5013,1.0
3278,1810,0.9
4172,4291,0.8
5096,5086,1.0
1334,361,1.0
4611,4833,0.9
5046,5132,1.0
5132,5046,1.0
5129,5080,1.0
3278,57,0.9
5025,25,1.0
3429,3649,1.0
3598,57,1.0
4291,5162,1.0
3504,3837,1.0
3504,5163,1.0
5163,3504,1.0
5193,5200,1.0
5200,5201,1.0
5201,5202,1.0
5202,5203,1.0
5193,5204,1.0
5212,4172,1.0
5234,3452,1.0
5235,5237,1.0
5237,5239,1.0
5239,5237,1.0
5239,5240,1.0
4304,4172,1.0
2934,4172,0.8
3837,3897,1.0
4833,4694,0.8
4320,4884,0.8
3714,5284,1.0
5284,3714,1.0
988,2377,1.0
3099,5297,0.8
3719,5299,1.0
3219,1018,0.9
1719,1656,1.0
4833,4611,0.9
5221,1185,1.0
4365,192,1.0
3572,1690,1.0
5399,3707,1.0
1953,5404,1.0
3897,905,1.0
5420,5415,0.8
5422,215,0.8
1396,1,0.8
5212,3630,1.0
3630,5212,1.0
4753,5438,1.0
5438,4753,1.0
4812,5384,1.0
5441,5384,1.0
5442,4291,0.8
5353,4172,1.0
1,1615,0.9
1615,1,0.9
4205,5458,1.0
5458,4205,1.0
5458,3982,1.0
1437,35,1.0
3897,4291,1.0
4291,3897,1.0
4320,5259,0.9
5259,4320,0.9
3982,5458,1.0
5413,5464,0.9
5403,4611,0.8
5489,5476,1.0
5404,1953,1.0
1810,3897,0.8
2870,5522,1.0
5522,2870,1.0
5480,3828,1.0
4899,5472,1.0
5472,4899,1.0
5549,5521,1.0
4899,5473,1.0
4519,5551,1.0
3897,3630,0.9
5560,3897,1.0
5492,5568,1.0
5568,5492,1.0
1731,1334,0.8
5524,1,1.0
5524,1953,1.0
1018,57,0.8
57,1018,0.8
4499,4649,0.8
5615,4925,0.8
5590,5618,1.0
5618,5590,1.0
5590,5619,1.0
5618,5619,1.0
5619,5590,1.0
5619,5618,1.0
5614,256,0.8
4515,5622,1.0
3470,5623,0.8
5609,4649,0.9
5598,4291,1.0
4649,4499,0.8
3470,5602,0.8
5636,1,1.0
5655,4197,1.0
3470,5661,0.8
2165,1752,1.0
5433,35,0.8
5717,35,1.0
5655,5720,1.0
4921,1,1.0
5719,5729,1.0
5730,5729,1.0
5731,5729,1.0
5732,5729,1.0
5309,4649,1.0
2942,1018,1.0
5227,5712,1.0
5759,5761,1.0
5761,5759,1.0
3470,5762,0.8
5762,3470,0.8
5762,5623,0.8
5763,5788,0.8
5788,5763,0.8
1967,5790,0.9
5791,5612,1.0
5649,5798,0.8
5798,5649,0.8
3707,5506,1.0
5806,5606,0.8
5806,5602,0.8
3470,5806,0.8
4921,5824,1.0
3829,5826,1.0
5655,1953,0.9
1953,4172,0.8
5648,3986,0.8
3649,3429,0.8
3903,1352,1.0
5862,5859,1.0
215,5422,0.8
4553,4291,0.8
5507,5896,1.0
5896,5507,1.0
5899,5439,1.0
5890,35,0.8
5411,4649,1.0
2,5929,0.8
4649,5411,1.0
1819,1810,0.9
3345,4649,0.8
5955,5958,1.0
5958,5955,1.0
4163,2067,1.0
3903,1810,1.0
5963,2045,1.0
2073,5971,1.0
5971,5960,1.0
1565,57,0.8
3804,2388,1.0
4004,5845,1.0
5956,5227,0.8
5999,3878,0.8
2045,33,0.9
33,2045,0.9
3714,481,1.0
